Target Name: www.nationalmuseum.gov.ph
         IP: 184.107.55.92
  Date/Time: 7/14/2020 12:53:17 PM - 7/14/2020 1:03:17 PM

Hop  Sent  PL%    Min     Max    Avg  Host Name / [IP]
  1   100    0   0.22    1.55   0.90  10.0.1.1 [10.0.1.1]
  2    99  100      0       0      0   [-]
  3   100    0   7.51   14.84   9.25  096-034-083-005.biz.spectrum.com [96.34.83.5]
  4   100    0   6.14   15.89  10.06  be34.crr02oxfrma.netops.charter.com [96.34.84.212]
  5   100    0   9.03   19.69  14.04  bbr01gdisne-bue-2.gdis.ne.charter.com [96.34.2.142]
  6   100    0  12.04   29.58  17.55  bbr01nwtwct-bue-4.nwtw.ct.charter.com [96.34.0.51]
  7   100    0  18.92   29.54  23.98  bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com [96.34.0.137]
  8   100    0  18.57   89.64  23.16  bbr02ashbva-bue-4.ashb.va.charter.com [96.34.3.163]
  9   100    0  18.58   61.17  22.53  ae10.cr5-was1.ip4.gtt.net [208.116.132.9]
 10   100    0  30.63   82.91  34.15  ae16.cr0-mtl1.ip4.gtt.net [89.149.186.134]
 11   100    0  31.86   66.38  34.20  iweb-gw.ip4.gtt.net [199.229.229.62]
 12   100    0  31.42  134.74  36.39  te9-4.dr11.mtl.iweb.com [184.107.1.234]
 13   100    0  31.81   40.89  33.52  www.nationalmuseum.gov.ph [184.107.55.92]
