Target Name: zoocity.kz
         IP: 2a00:5da0:1000::112
  Date/Time: 7/14/2020 12:57:30 PM - 7/14/2020 1:07:30 PM

Hop  Sent  PL%     Min     Max     Avg  Host Name / [IP]
  1   119    0    0.34    1.65    0.99  2600:6c64:657f:ddd7:6e70:9fff:fed6:f8 [2600:6c64:657f:ddd7:6e70:9fff:fed6:f8]
  2   119  100       0       0       0   [-]
  3   119    0    7.75   19.41    9.60  2001-0506-0100-171a-0000-0000-0000-0001.inf6.spectrum.com [2001:506:100:171a::1]
  4   119    0    8.19   15.25   10.15  2001-0506-0100-10ab-0000-0000-0000-0005.inf6.spectrum.com [2001:506:100:10ab::5]
  5   119    1    7.03   20.78   13.51  2001-0506-0100-1011-0000-0000-0000-000e.inf6.spectrum.com [2001:506:100:1011::e]
  6   119    3   12.11   24.00   17.10  bbr02oxfrma-tge0-0-0-2.oxfr.ma.charter.com [2001:506:100:1a::2]
  7   119    8   18.84   36.58   23.96  2001-0506-0100-000b-0000-0000-0000-0006.inf6.spectrum.com [2001:506:100:b::6]
  8   119   13   18.65   81.67   23.18  bbr01rvsdca-tge0-0-0-1.rvsd.ca.charter.com [2001:506:100:32c::2]
  9   119    0   17.83   30.46   20.16  equinix-dc.retn.net [2001:504:0:2::9002:1]
 10   119    0  151.31  237.24  160.33  RT.INT.STV.RU.retn.net [2a02:2d8::57f5:e00f]
 11   119   17  160.00  169.57  162.76  GW-TransTelecomKZ.retn.net [2a02:2d8:1:3804:232a::1]
 12   119    7  188.39  202.67  190.35  2a00:ab40:1:1::36 [2a00:ab40:1:1::36]
 13   119    0  185.75  199.88  188.51  2a00:ab40:3000:5::2 [2a00:ab40:3000:5::2]
 14   119    0  185.48  194.01  187.42  2a00:5da0:0:1100::2 [2a00:5da0:0:1100::2]
 15   119    0  187.88  195.63  189.97  2a00:5da0:1:10::19 [2a00:5da0:1:10::19]
 16   119    0  185.57  203.95  187.72  zoocity.kz [2a00:5da0:1000::112]
