Target Name: buudienhospital.vn
         IP: 171.244.17.13
  Date/Time: 7/17/2020 2:16:14 PM - 7/17/2020 2:26:14 PM

Hop  Sent  PL%     Min     Max     Avg  Host Name / [IP]
  1   304    0    0.24    1.76    0.94  10.0.1.1 [10.0.1.1]
  2   304  100       0       0       0   [-]
  3   304    0    4.33   19.35    9.60  096-034-083-005.biz.spectrum.com [96.34.83.5]
  4   304    0    6.76   17.39   10.24  be34.crr02oxfrma.netops.charter.com [96.34.84.212]
  5   304    0    6.00   23.93   13.82  bbr01gdisne-bue-2.gdis.ne.charter.com [96.34.2.142]
  6   304    0   11.73   33.61   17.56  bbr01nwtwct-bue-4.nwtw.ct.charter.com [96.34.0.51]
  7   304    0   17.12   36.74   23.74  bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com [96.34.0.137]
  8   304    0   15.20   95.65   23.47  prr01ashbva-bue-6.ashb.va.charter.com [96.34.3.89]
  9   304    0   17.98  141.51   20.90  63-218-92-125.static.pccwglobal.net [63.218.92.125]
 10   304    0  259.83  276.40  264.55  TenGE0-0-0-2.clbr01.hkg04.pccwbtn.net [63.223.17.126]
 11   304    0  257.99  281.71  263.98  TenGE0-0-0-2.clbr01.hkg04.pccwbtn.net [63.223.17.126]
 12   304    0  265.93  320.52  269.36  63.217.24.50 [63.217.24.50]
 13   304    0  301.37  315.99  306.41  DESKTOP-HK5KRG7 [27.68.250.153]
 14   304    0  299.98  326.01  308.39  DESKTOP-HK5KRG7 [27.68.236.1]
 15   304    0  302.52  323.48  306.99  DESKTOP-HK5KRG7 [27.68.236.106]
 16   304    0  306.54  325.05  309.48  203.113.186.210 [203.113.186.210]
 17   304    0  301.81  330.52  307.71  115.84.180.1 [115.84.180.1]
 18   304    0  303.62  318.97  309.48  115.84.180.42 [115.84.180.42]
 19   304  100       0       0       0   [-]
 20   304    0  302.54  316.29  308.99  210.211.114.166 [210.211.114.166]
 21   304    0  297.16  312.92  302.65  buudienhospital.vn [171.244.17.13]
