Target Name: www.goodthai.fr
         IP: 164.132.235.17
  Date/Time: 7/17/2020 2:37:48 PM - 7/17/2020 2:47:48 PM

Hop  Sent  PL%     Min     Max     Avg  Host Name / [IP]
  1   304    0    0.30    1.75    0.96  10.0.1.1 [10.0.1.1]
  2   304  100       0       0       0   [-]
  3   304    0    4.90   92.03   10.32  096-034-083-005.biz.spectrum.com [96.34.83.5]
  4   304    0    5.68   58.34   11.08  be34.crr02oxfrma.netops.charter.com [96.34.84.212]
  5   304    0    7.15   90.95   14.86  bbr01gdisne-bue-2.gdis.ne.charter.com [96.34.2.142]
  6   304    0   11.82  142.95   18.21  bbr01nwtwct-bue-4.nwtw.ct.charter.com [96.34.0.51]
  7   304    0   17.53  198.40   24.74  bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com [96.34.0.137]
  8   304    0   15.05  247.68   21.95  bbr02ashbva-bue-4.ashb.va.charter.com [96.34.3.163]
  9   304    0   37.58  289.16   43.07  ash-1-a9.va.us [142.44.208.118]
 10   304    0   40.81  298.27   47.19  be100-1039.nwk-1-a9.nj.us [198.27.73.202]
 11   304    0  108.54  363.15  118.29  be100-1295.ldn-1-a9.uk.eu [192.99.146.126]
 12   304    0  112.99  369.57  121.05  be103.gra-g1-nc5.fr.eu [91.121.215.178]
 13   304  100       0       0       0   [-]
 14   304  100       0       0       0   [-]
 15   304  100       0       0       0   [-]
 16   304    0  112.71  242.59  118.17  www.goodthai.fr [164.132.235.17]
