Target Name: www.iuj.ac.jp
         IP: 202.223.160.72
  Date/Time: 7/17/2020 12:52:23 PM - 7/17/2020 1:02:23 PM

Hop  Sent  PL%     Min     Max     Avg  Host Name / [IP]
  1   304    0    0.28    2.76    1.00  10.0.1.1 [10.0.1.1]
  2   304  100       0       0       0   [-]
  3   304    0    4.78   48.31   10.29  096-034-083-005.biz.spectrum.com [96.34.83.5]
  4   304    0    4.92   21.07   10.64  be34.crr02oxfrma.netops.charter.com [96.34.84.212]
  5   304    0    6.98   28.94   14.40  bbr01gdisne-bue-2.gdis.ne.charter.com [96.34.2.142]
  6   304    0    9.15   34.11   16.23  bbr01nwtwct-bue-4.nwtw.ct.charter.com [96.34.0.51]
  7   304    0   15.50   48.30   24.79  bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com [96.34.0.137]
  8   304    0   18.74   54.84   24.93  bbr01ashbva-bue-5.ashb.va.charter.com [96.34.0.60]
  9   304    0   25.84   46.28   33.09  bbr01gnvlsc-bue-805.gnvl.sc.charter.com [96.34.0.160]
 10   304    0   25.20   58.68   34.45  bbr01chcgil-tge-0-1-0-6.chcg.il.charter.com [96.34.0.135]
 11   304    0   23.47   47.91   30.23  cha-b1-link.telia.net [213.248.98.25]
 12   304   60   31.44   50.33   35.17  atl-b24-link.telia.net [213.155.137.122]
 13   304    0   32.62   53.86   37.48  ae-2.r04.atlnga05.us.bb.gin.ntt.net [129.250.9.21]
 14   304    0   29.06   46.77   35.46  ae-14.r22.atlnga05.us.bb.gin.ntt.net [129.250.5.202]
 15   304    0   49.06   68.74   55.47  ae-4.r25.dllstx09.us.bb.gin.ntt.net [129.250.4.116]
 16   304   14   50.90   73.21   55.53  ae-12.r24.dllstx09.us.bb.gin.ntt.net [129.250.2.81]
 17   304    9   79.46  117.06   85.78  ae-5.r22.lsanca07.us.bb.gin.ntt.net [129.250.7.69]
 18   304    0  188.68  214.54  195.03  ae-15.r25.osakjp02.jp.bb.gin.ntt.net [129.250.2.177]
 19   304    0  188.20  204.34  193.91  ae-2.r03.osakjp02.jp.bb.gin.ntt.net [129.250.7.33]
 20   304    0  198.50  233.49  205.16  ae-2.a01.osakjp02.jp.bb.gin.ntt.net [129.250.3.106]
 21   304    0  196.82  217.45  202.21  ae-0.sinet5.osakjp02.jp.bb.gin.ntt.net [61.200.91.154]
 22   304    0  199.22  236.28  205.94  niigata-RM-ET-4-1-0-152.s5.sinet.ad.jp [150.99.72.232]
 23   304  100       0       0       0  www.iuj.ac.jp [202.223.160.72]
