Target Name: www.ozarena.com
         IP: 183.111.138.159
  Date/Time: 7/17/2020 2:04:07 PM - 7/17/2020 2:14:07 PM

Hop  Sent  PL%     Min     Max     Avg  Host Name / [IP]
  1   304    0    0.26    4.60    0.96  10.0.1.1 [10.0.1.1]
  2   304  100       0       0       0   [-]
  3   304    0    4.11   16.51    9.60  096-034-083-005.biz.spectrum.com [96.34.83.5]
  4   304    0    5.38   19.03   10.45  be34.crr02oxfrma.netops.charter.com [96.34.84.212]
  5   304    0    8.88   26.83   14.35  bbr01gdisne-bue-2.gdis.ne.charter.com [96.34.2.142]
  6   304    0    9.78   33.15   17.54  bbr01nwtwct-bue-4.nwtw.ct.charter.com [96.34.0.51]
  7   304    0   18.62   34.39   24.25  bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com [96.34.0.137]
  8   304    0   38.91   53.97   45.04  bbr02chcgil-bue-3.chcg.il.charter.com [96.34.0.58]
  9   304    0   45.37   69.78   52.67  bbr01olvemo-bue-2.olve.mo.charter.com [96.34.0.13]
 10   304    0   62.36   75.28   67.87  bbr01dnvrco-bue-1.dnvr.co.charter.com [96.34.0.144]
 11   304    0   85.62  107.96   93.78  bbr02snjsca-bue-2.snjs.ca.charter.com [96.34.0.2]
 12   304    0  100.14  116.99  105.64  bbr01rvsdca-bue-8.rvsd.ca.charter.com [96.34.0.177]
 13   304    0  101.18  117.91  107.05  bbr02chcgil-tge-0-2-0-1.chcg.il.charter.com [96.34.3.129]
 14   304    0   99.84  124.98  105.17  la-pom247-ge-5-0-0.kornet.net [206.223.123.44]
 15   304    0  225.82  252.46  232.80  112.174.89.249 [112.174.89.249]
 16   304    0  238.30  282.61  245.13  112.174.84.169 [112.174.84.169]
 17   304  100       0       0       0   [-]
 18   304    0  240.06  280.59  244.55  112.174.62.226 [112.174.62.226]
 19   304    0  240.17  262.10  244.45  112.188.240.198 [112.188.240.198]
 20   304    0  239.12  254.59  244.24  121.189.11.226 [121.189.11.226]
 21   304  100       0       0       0  www.ozarena.com [183.111.138.159]
