Target Name: www.taironainn.com
         IP: 98.129.229.84
  Date/Time: 7/17/2020 2:27:20 PM - 7/17/2020 2:37:20 PM

Hop  Sent  PL%    Min     Max    Avg  Host Name / [IP]
  1   304    0   0.28    1.62   0.98  10.0.1.1 [10.0.1.1]
  2   304  100      0       0      0   [-]
  3   304    0   5.66   19.07   9.49  096-034-083-005.biz.spectrum.com [96.34.83.5]
  4   304    0   8.17   19.86  10.23  be34.crr02oxfrma.netops.charter.com [96.34.84.212]
  5   304    0   8.29   24.66  13.90  bbr01gdisne-bue-2.gdis.ne.charter.com [96.34.2.142]
  6   304    0  12.11   24.84  17.32  bbr01nwtwct-bue-4.nwtw.ct.charter.com [96.34.0.51]
  7   304    0  18.89   33.12  24.03  bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com [96.34.0.137]
  8   304    0  18.02  103.16  24.45  prr01ashbva-bue-6.ashb.va.charter.com [96.34.3.89]
  9   304    0  15.66  117.93  23.00  ae-10.edge5.WashingtonDC12.Level3.net [4.68.62.61]
 10   304   81  92.98  103.63  95.31  ae-2-30.bear2.Phoenix1.Level3.net [4.69.210.161]
 11   304    0  76.76   89.57  81.64  LIQUID-WEB.bear2.Phoenix1.Level3.net [4.28.83.26]
 12   304    0  79.36   89.63  81.33  lw-dc4-core1-nexus-eth4-3.rtr.liquidweb.com [50.28.96.230]
 13   304    0  77.52  101.58  81.69  lw-dc4-dist4-eth4-11-1.rtr.liquidweb.com [50.28.96.243]
 14   304    0  76.77   88.45  81.40  www.taironainn.com [98.129.229.84]
