Target Name: buudienhospital.vn
         IP: 171.244.17.13
  Date/Time: 7/14/2020 1:04:56 PM - 7/14/2020 1:14:56 PM

Hop  Sent  PL%     Min     Max     Avg  Host Name / [IP]
  1   102    0    0.30    1.62    0.95  10.0.1.1 [10.0.1.1]
  2   101  100       0       0       0   [-]
  3   102    0    7.58   17.57    9.66  096-034-083-005.biz.spectrum.com [96.34.83.5]
  4   102    0    4.47   19.19   10.61  be34.crr02oxfrma.netops.charter.com [96.34.84.212]
  5   102    0    7.82   23.42   14.22  bbr01gdisne-bue-2.gdis.ne.charter.com [96.34.2.142]
  6   102    0   12.62   42.28   17.85  bbr01nwtwct-bue-4.nwtw.ct.charter.com [96.34.0.51]
  7   102    0   18.72   33.67   23.96  bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com [96.34.0.137]
  8   102    0   16.22   70.42   22.33  prr01ashbva-bue-6.ashb.va.charter.com [96.34.3.89]
  9   102    0   18.45   26.91   19.96  63-218-92-125.static.pccwglobal.net [63.218.92.125]
 10   102    0  245.48  278.95  247.73  TenGE0-0-0-2.clbr01.hkg04.pccwbtn.net [63.223.17.126]
 11   102    0  245.19  255.59  247.28  TenGE0-0-0-2.clbr01.hkg04.pccwbtn.net [63.223.17.126]
 12   102    0  260.12  272.84  262.63  63.217.24.50 [63.217.24.50]
 13   102    0  288.25  302.50  293.74  DESKTOP-HK5KRG7 [27.68.250.153]
 14   102    0  292.50  306.66  298.21  DESKTOP-HK5KRG7 [27.68.236.1]
 15   102    0  291.97  299.23  293.96  DESKTOP-HK5KRG7 [27.68.236.106]
 16   102    0  292.12  310.17  294.85  203.113.186.208 [203.113.186.208]
 17   102    0  290.46  302.94  294.91  115.84.180.1 [115.84.180.1]
 18   102    0  292.39  302.14  294.11  115.84.180.42 [115.84.180.42]
 19   101  100       0       0       0   [-]
 20   102    0  287.45  301.44  289.41  210.211.114.166 [210.211.114.166]
 21   102    0  290.29  301.30  292.03  buudienhospital.vn [171.244.17.13]
