Target Name: www.goodthai.fr
         IP: 164.132.235.17
  Date/Time: 7/14/2020 1:19:07 PM - 7/14/2020 1:29:07 PM

Hop  Sent  PL%     Min     Max     Avg  Host Name / [IP]
  1   100    0    0.29    1.67    0.95  10.0.1.1 [10.0.1.1]
  2   100  100       0       0       0   [-]
  3   100    0    4.83   13.51    9.20  096-034-083-005.biz.spectrum.com [96.34.83.5]
  4   100    0    8.06   16.07   10.06  be34.crr02oxfrma.netops.charter.com [96.34.84.212]
  5   100    0    8.04   19.02   14.07  bbr01gdisne-bue-2.gdis.ne.charter.com [96.34.2.142]
  6   100    0   12.78   27.48   17.00  bbr01nwtwct-bue-4.nwtw.ct.charter.com [96.34.0.51]
  7   100    0   18.36   27.82   23.75  bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com [96.34.0.137]
  8   100    0   15.27  171.30   23.61  bbr02ashbva-bue-4.ashb.va.charter.com [96.34.3.163]
  9   100    0   36.41   46.64   39.47  ash-1-a9.va.us [142.44.208.118]
 10   100    0   42.02   50.98   43.79  be100-1039.nwk-1-a9.nj.us [198.27.73.202]
 11   100    0  111.44  123.35  113.78  be100-1295.ldn-1-a9.uk.eu [192.99.146.126]
 12   100    0  113.33  177.99  117.10  be103.gra-g1-nc5.fr.eu [91.121.215.178]
 13   100  100       0       0       0   [-]
 14   100  100       0       0       0   [-]
 15   100  100       0       0       0   [-]
 16   100    0  109.34  119.75  112.13  www.goodthai.fr [164.132.235.17]
